Organization Name,Direct Cost,Indirect Cost,Funding
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND,10186543,4115403,14238224
"COG ANALYTICS, LLC",0,0,306211
"LIGHTSPIN TECHNOLOGIES, INC.",0,0,500001
COOPER UNIVERSITY HOSPITAL,581072,44166,625238
"SEACOAST SCIENCE, INC.",0,0,496774
MONTSHIRE MUSEUM OF SCIENCE,123905,9912,133817
"PROGNOSYS BIOSCIENCES, INC.",0,0,1969762
INTERNATIONAL AGENCY FOR RES ON CANCER,2492262,222416,2544099
PANGAEA GLOBAL AIDS FOUNDATION,369520,82033,451553
"RETROJECT, INC.",0,0,159063
STEELWORKER CHARITABLE/EDUCATIONAL ORG,3729252,255791,3641090
EVA PERON ACUTE INTERZONAL GEN HOSPITAL,88821,6767,95588
LA JOLLA INST FOR ALLERGY & IMMUNOLGY,13790624,8635621,26164807
PRISM CLINICAL IMAGING INC.,0,0,550638
"SOMAGENICS, INC.",0,0,783579
MGH INSTITUTE OF HEALTH PROFESSIONS,471630,278262,749892
SANFORD RESEARCH/USD,8470734,3569599,12027508
IMMURX LLC,0,0,864478
"CHEMILY, LLC",0,0,299544
VILLANOVA UNIVERSITY,297267,172113,469380
"CERTERRA, INC.",0,0,349998
"AVAXIA BIOLOGICS, INC.",0,0,560010
"OAI, INC.",1305025,96499,1401524
ST. LUKE'S-ROOSEVELT INST FOR HLTH SCIS,4799971,2136790,6961261
SPEECH TECHNOLOGY/APPLIED RESEARCH CORP.,0,0,496907
BETH ISRAEL DEACONESS MEDICAL CENTER,81764103,35614451,118785811
UNIVERSITY OF CALIFORNIA IRVINE,94144639,33624065,126433097
QUEENSBOROUGH COMMUNITY COLLEGE,336744,24990,361734
MERCER UNIVERSITY MACON,762915,387876,1150791
SULLIVAN ALLIANCE/TRANSFORM/HLTH/PROFESS,974905,192641,858952
UNIVERSITY OF CALIFORNIA SANTA CRUZ,21015631,7542632,28551095
"CAPRICOR, INC.",0,0,999912
"AVIV BIOMEDICAL, INC.",0,0,165920
SUSTAINABLE SCIENCES INSTITUTE,132318,8842,141160
"APPLIED BEHAVIORAL RESEARCH, LLC",0,0,475982
"QUADRIGA BIOSCIENCES, INC.",0,0,288099
BANARAS HINDU UNIVERSITY,478020,30871,508891
INSTITUTE FOR BASIC RES IN DEV DISABIL,313718,33614,347332
SAN JOSE STATE UNIVERSITY,1159426,268864,1428290
"AFRAME DIGITAL, INC.",0,0,450815
"FISHER BIOSERVICES, INC.",0,0,25921242
HOWARD UNIVERSITY,6711927,2174523,8290778
HEALTHCARE TECHNOLOGIES AND METHODS,0,0,223897
"PARABON COMPUTATION, INC.",0,0,149980
"THEYFIT, LLC",0,0,224863
MUSEUM OF SCIENCE AND INDUSTRY,228117,18249,246366
TENNESSEE STATE UNIVERSITY,881291,205842,1082942
"RXFUNCTION, INC.",0,0,618129
UNIVERSITY OF THE SCIENCES PHILADELPHIA,233184,11651,244835
TUFTS MEDICAL CENTER,24027141,7127675,30823441
"MYTECH MEDICAL, INC.",0,0,200000
LUCIGEN CORPORATION,160702,52440,3171989
"WINDMILL CARDIOVASCULAR SYSTEMS, INC.",0,0,100142
"G1 THERAPEUTICS, INC.",0,0,1310951
"OCEAN NANOTECH, LLC",0,0,193077
"VOXIVA, INC.",0,0,480316
"TWISTNOSTICS, LLC",168565,60374,382196
SANTANDER INDUSTRIAL UNIVERSITY,47200,3776,50976
"UNIV OF TX HSC, SA",52543323,16386635,69979599
"CORSOLUTIONS, LLC",0,0,667714
"PROTEIN ADVANCES, INC.",0,0,1343698
"ISENSE, LLC",0,0,1144615
WICHITA STATE UNIVERSITY,1041599,281044,1322643
"OPTOSONICS, INC.",427091,199859,626950
PRIMUS CONSULTING,0,0,311533
"NEURO DEVICES, INC.",0,0,1666360
UNIVERSITY OF IBADAN,4328382,264766,4593148
ADVANCED BIOMEDICAL INFORMATICS GROUP,0,0,215228
SOCIETY FOR MUCOSAL IMMUNOLOGY,5000,0,5000
"BLUESUN, INC.",0,0,51204
"SOFIE BIOSCIENCES, LLC",0,0,598378
UNIVERSITY OF VIRGINIA,80791771,29575019,110028335
UNIVERSITY OF THE REPUBLIC,91600,6048,97648
"AURORA HEALTH CARE, INC.",379919,98779,478698
"HYGIEIA RESEARCH, LLC",0,0,749529
"LITRON LABORATORIES, LTD.",0,0,790204
ALTAMED HEALTH SERVICES CORPORATION,29760,0,29760
NY SOCIETY/PREVENTION/CRUELTY/CHILDREN,249416,32698,282114
NORTHERN ILLINOIS UNIVERSITY,404945,129720,534665
SEATTLE-KING COUNTY PUBLIC HEALTH DEPT,377652,63030,440682
DECISION RESEARCH,370916,187512,558428
"RESET THERAPEUTICS, INC.",255898,99800,355698
"SOLOHEALTH, INC.",0,0,388222
"EPIVAX, INC.",0,0,1403925
"ELSOHLY LABORATORIES, INC.",0,0,205514
"IXPRESSGENES, INC.",0,0,375000
"ENERTECHNIX, INC.",0,0,433573
TEL AVIV UNIVERSITY,486031,38882,524913
MIDWEST RESEARCH INSTITUTE,0,0,9436064
"TRANSTIMULATION RESEARCH, INC.",0,0,200330
"TISSUETECH, INC.",237500,127733,760253
"INTEGRATIVE BIOINFORMATICS, INC.",158588,34096,192684
NONAGEN BIOSCIENCE CORPORATION,0,0,216710
ADVANCED LIQUID LOGIC,0,0,2529543
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",0,0,15484153
"AXION BIOSYSTEMS, LLC",0,0,769587
ASSOCIATION/ASIAN PACIFIC CMTY HLTH ORGS,267664,48495,316159
"MEDIA REZ, LLC",0,0,150000
"OMICRON BIOCHEMICALS, INC.",0,0,299586
NORTHWEST PORTLAND AREA INDIAN HLTH BD,415682,142475,558157
IDAHO VETERANS RESEARCH / EDUCATION FDN,165440,39480,204920
"DIAGNOSTIC BIOCHIPS, INC.",0,0,711858
NATIONAL BUREAU OF ECONOMIC RESEARCH,12539664,3487953,15869026
"ATHERSYS, INC.",0,0,1289795
TWIN STAR MEDICAL,0,0,1117290
CHARLES STARK DRAPER LABORATORY,640895,358022,998917
LANKENAU INSTITUTE FOR MEDICAL RESEARCH,1153923,428531,1502454
"STATE UNIVERSITY OF NY,BINGHAMTON",3591532,1010204,4601736
BIO-SIGNAL GROUP CORPORATION,0,0,345053
MARY IMOGENE BASSETT HOSPITAL,47400,24601,72001
"CYTOVAS, LLC",0,0,271295
"VADOVATIONS, INC.",0,0,1399962
AMERICAN SOCIETY OF GENE & CELL THERAPY,10000,0,10000
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0,0,10954745
"SGC PHARMA, INC.",0,0,149847
HAMILTON COLLEGE,98882,46332,145214
"TRANSDERM, INC.",0,0,1045754
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,6964456,1511642,8472909
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,1173679,38179,1084986
"PAXVAX, INC.",0,0,12079618
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,78515530,29995404,105607977
FOR-ROBIN,0,0,282224
WALTER AND ELIZA HALL INST MEDICAL RES,200361,16028,216389
UNIVERSITY OF COLORADO DENVER/HSC DENVER,433966,111295,545261
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,166715,47921,214636
PROSETTA CORPORATION,68256,42739,110995
TEXAS SOUTHERN UNIVERSITY,147375,75161,222536
WEST VIRGINIA UNIVERSITY,9421768,3625898,13047666
BANNER SUN HEALTH RESEARCH INSTITUTE,2389476,789937,3167757
EMERGENT PRODUCT DEVELOPMENT GAITHERSBUR,971299,489340,3505783
WEILL MEDICAL COLL OF CORNELL UNIV,77147260,34555961,112121941
"WOOMERA THERAPEUTICS, INC.",0,0,475993
BIOMEDICAL RESEARCH & TRAINING INSTITUTE,521528,29208,550736
QUEENS COLLEGE,1707456,730964,2409343
INSTITUTE FOR SYSTEMS BIOLOGY,4038551,2671356,6475171
"ALTEC, INC.",0,0,743386
"OMEGA OPTICS, INC.",0,0,500000
"PRAEVIUM RESEARCH, INC.",0,0,493730
NATIONAL INSTITUTE OF SCIENCE,459895,0,459895
"C/J MEDIA, INC.",0,0,143650
OKLAHOMA MEDICAL RESEARCH FOUNDATION,16503646,8622905,25126551
"JOHN B. PIERCE LABORATORY, INC.",2626041,1352373,3978414
MCLEAN HOSPITAL,17493025,6741728,24627722
"BIOLEAP, LLC",0,0,216678
"OSTEOGENEX, INC",0,0,475076
"GLUCOSENTIENT, INC.",0,0,329749
"AVANTGEN, INC.",0,0,424944
"DAYSAI BIOPHARMACEUTICALS, INC.",0,0,280492
"VULINTUS, LLC",0,0,332278
"VORTANT TECHNOLOGIES, LLC",0,0,371933
UNIVERSITY OF CONNECTICUT STORRS,11761161,4426804,16179653
"SONITRACK SYSTEMS, INC.",0,0,225214
UNIVERSITY OF CENTRAL ARKANSAS,539793,118358,658151
"ROSKAMP INSTITUTE, INC.",417927,231950,649877
BUCK INSTITUTE FOR RESEARCH ON AGING,6463933,4009710,10473643
"CODEX BIOSOLUTIONS, INC.",0,0,158510
"NOVOMEDIX, INC.",0,0,927615
UNIVERSITY OF KWAZULU-NATAL,8184781,653396,8838177
"EDEN MEDICAL, INC.",0,0,1252770
"WORLD PARKINSON COALITION, INC.",74500,0,74500
LOS ALAMOS NAT SECTY-LOS ALAMOS NAT LAB,3671535,1958923,5630458
COLORADO STATE UNIVERSITY,23022579,7648533,32724352
"TRIM-EDICINE, INC.",0,0,899390
"AMPLYX PHARMACEUTICALS, INC.",0,0,1581107
"TALKING FINGERS, INC.",0,0,149985
UNIVERSITY OF MISSOURI-COLUMBIA,24658560,9599354,34194279
UNIVERSITY OF HOUSTON,11422782,4264045,15044229
"VITI, INC.",0,0,976910
"LEUKOSIGHT, INC.",0,0,300000
UNIVERSITY OF MINNESOTA DULUTH,491388,234285,725673
"INTERNTL NARCOTICS RESEARCH CONF, INC.",49550,0,49550
"CYTOLUMINA TECHNOLOGIES CORPORATION, INC",0,0,200465
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",0,0,568564
LOUISIANA TECH UNIVERSITY,71175,14804,85979
CLAREMONT GRADUATE UNIVERSITY,2517655,802085,3319740
NATIONAL CENTER/AIDS/STD CONTROL/PREVENT,777189,44769,561197
"CAPITAL TECHNOLOGY INFORMATION SERVICES,",1363701,136299,8064441
"ADP SILVER DENTAL ARREST, LLC",0,0,117198
SUNY DOWNSTATE MEDICAL CENTER,16546651,4707797,20557902
DOUBLE S INSTRUCTIONAL SYSTEMS,0,0,442431
LONG BEACH MEMORIAL MEDICAL CENTER,21040,10730,31770
"GENAPSYS, INC.",795826,238748,1034574
NEW YORK INST OF TECHNOLOGY,432006,128041,560047
"CYTOVALE, INC.",0,0,199999
BIOMEDICAL RESEARCH INSTITUTE OF NEW MEX,496239,87798,584037
BIRKBECK COLLEGE,320530,8700,329230
"HEARTHSTONE ALZHEIMER CARE, LTD",0,0,1020379
"INTICA BIOMEDICAL, INC.",0,0,149799
"ARGOS THERAPEUTICS, INC.",0,0,5415284
"ACETYLON PHARMACEUTICALS, INC.",0,0,367972
WEBSCIENCES INTERNATIONAL,126925,10154,137079
PACIFIC DIABETES TECHNOLOGIES,0,0,222735
"OXFORD BIOMEDICAL RESEARCH, INC.",0,0,617437
"ARSERVICES, LTD",0,0,672842
"RXGEN, INC.",0,0,203038
"FLUIDIC TOOLS, LLC",0,0,150000
UNIVERSITY OF MONTREAL HOSPITAL,427978,34238,462216
SOUTH FLORIDA VA FDN/RESEARCH/ EDUCATION,395584,100183,495767
ALCORN STATE UNIVERSITY,210375,16638,227013
UNIVERSITY OF CHILE,46385,3711,50096
"OPTIMUM THERAPEUTICS, LLC",728042,608714,1336756
"IS3D, LLC",0,0,849613
"AM BIOTECHNOLOGIES, LLC",0,0,749846
"FHI DEVELOPMENT 360, LLC",0,0,569966
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,30434563,12142692,42577255
MASSACHUSETTS GENERAL HOSPITAL,222615284,104232455,339490480
"DNASTAR, INC.",0,0,635252
"UNITHER VIROLOGY, LLC",0,0,6460999
MISSOURI BAPTIST MEDICAL CENTER,536209,174268,630477
YALE UNIVERSITY,240229220,110217739,348058771
NORTHEASTERN UNIVERSITY,16972828,5917925,22360166
ROWAN UNIVERSITY,491080,112718,603798
SOCIAL SCIENCES INNOVATIONS CORPORATION,0,0,483786
"ETECT, INC.",0,0,150741
BUTLER UNIVERSITY,24250,4925,29175
"TECHNOVAX, INC.",0,0,300000
CHROMATAN CORPORATION,0,0,585041
SHANGHAI INSTITUTE OF MATERIA MEDICA,125000,10000,135000
"EPIPHANY BIOSCIENCES, INC.",0,0,526885
SHENANDOAH UNIVERSITY,28649,0,28649
"GLYCOBAC, LLC",0,0,302429
EASTERN MICHIGAN UNIVERSITY,142432,39033,181465
"NOOM, INC.",0,0,343684
"SITEONE THERAPEUTICS, INC.",0,0,521283
INTELLIGENT HEARING SYSTEMS,0,0,150000
"MOUND LASER AND PHOTONICS CENTER, INC.",0,0,96572
NATIONAL INSTITUTE OF HEALTH OF PERU,49800,480,50280
INTEGRIS BAPTIST MEDICAL CENTER,166600,83983,250583
"CIRCULOMICS, INC.",0,0,399504
NORTH DAKOTA STATE UNIVERSITY,3207736,1343553,4551289
"BIOPAL, INC",0,0,682125
"PATIENT PROVIDER COMMUNICATIONS, INC.",0,0,603098
"APOCELL, INC.",0,0,999750
"INTELLIGENT BIO-SYSTEMS, INC.",0,0,1755705
PHOENIX CHILDREN'S HOSPITAL,167408,92074,259482
"CDM GROUP, INC.",0,0,2070185
UNIVERSITY OF PUERTO RICO MED SCIENCES,19928287,7862514,27133868
TRANSLATIONAL GENOMICS RESEARCH INST,3060379,1599524,4650324
ELIZABETH CITY STATE UNIVERSITY,553323,59816,548907
UNIVERSITY OF MINNESOTA,200951672,63938732,263576394
INTERACTIVE MEDIA INSTITUTE,24992,0,24992
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,23437447,6725383,30162830
"NANOHMICS, INC.",0,0,279851
ALBANY COLLEGE OF PHARMACY,957560,522855,1480415
"KAI RESEARCH, INC",0,0,1853537
UNION COLLEGE,246000,83593,329593
KALAMAZOO COLLEGE,225000,117321,342321
"AMPRION, INC.",0,0,502343
ABEOME CORPORATION,0,0,275916
PUBLIC HEALTH FOUNDATION ENTERPRISES,5843332,365880,4945298
ST. FRANCIS HOSPITAL AND MEDICAL CENTER,212500,115175,327675
"ADVANCED DIAMOND TECHNOLOGIES, INC.",0,0,796047
SOCIETY FOR DEVELOPMENTAL BIOLOGY,15000,0,15000
BAYLOR COLLEGE OF MEDICINE,144793022,46579993,185954665
"ORTHOPEUTICS, LP",0,0,244897
ST. MICHAEL'S HOSPITAL,158984,12719,171703
"KERAMED, INC.",0,0,1011899
"BIOLOGICAL ANTI-INFECTIVE MEDICINES, LLC",0,0,288362
INTERNATIONAL COMPUTER SCIENCE INSTITUTE,162200,12976,175176
SETON HALL UNIVERSITY,423324,126378,549702
CANCER PREVENTION INSTIT OF CALIFORNIA,3682456,679582,4362038
LSU PENNINGTON BIOMEDICAL RESEARCH CTR,12107510,4523345,16549727
"TRILINK BIOTECHNOLOGIES, INC.",0,0,132803
"LPATH THERAPEUTICS, INC.",0,0,145230
VAXINNATE CORPORATION,708004,38686,746690
"AXERION THERAPEUTICS, INC.",190896,10062,425953
FUNDACAO FACULDADE DE MEDICINA,1028159,81725,1033990
"AIRLIFT ENVIRONMENTAL, LLC",0,0,106840
"RIPARIAN PHARMACEUTICALS, INC.",0,0,245125
"EXPERIAD, LLC",0,0,347991
SHARP HEALTHCARE FOUNDATION,50000,27500,77500
"DIRECT ELECTRON, LP",0,0,241404
"ONEVAX, LLC",0,0,226205
KEENE STATE COLLEGE,353942,115890,469832
CARL T. HAYDEN MEDICAL RESEARCH FDN,499248,95623,594871
"SYNTHOMICS, INC.",0,0,135100
"RENOVO NEURAL, INC.",0,0,298449
DESMOND TUTU HIV FOUNDATION,541256,43300,584556
MONASH UNIVERSITY,1302930,101693,1404623
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,4027690,592041,4361477
"VIVONICS, INC.",0,0,1207328
"CYTOBANK, INC.",0,0,1018697
"SPECTROGLYPH, LLC",0,0,223960
"DIFFREGEN, LLC",0,0,288301
UNIVERSITY OF WATERLOO,903630,63561,967191
UNIVERSITY OF SOUTH FLORIDA,24712982,9559951,33961330
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,171287,47400,218687
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),427479,29266,456745
OLD DOMINION UNIVERSITY,1513145,578535,2091680
ADELPHI UNIVERSITY,150000,21716,171716
UNIVERSITY OF QUEENSLAND,111395,8912,120307
CALIFORNIA POLY STATE U SAN LUIS OBISPO,1675641,337688,2013329
"JPTECHNOLOGIES, INC.",0,0,150000
WEST LIBERTY UNIVERSITY,98318,7865,106183
BABES BOLYAI UNIVERSITY,54513,5451,59964
"MABVAX THERAPEUTICS, INC.",0,0,249965
"VAL HEALTH, LLC",0,0,149439
SAINT JOSEPH MERCY HEALTH SYSTEM,1123409,426896,1510306
FUNDACAO OSWALDO CRUZ,3225173,22748,3247921
ADVANCED MEDICAL ELECTRONICS CORPORATION,0,0,1495017
"BIOCRYST PHARMACEUTICALS, INC.",0,0,4996104
BIOLOGICAL SCIENCES CURRICULUM STUDY,163644,13092,176736
GEORGIA TECH APPLIED RESEARCH CORP,117875,59297,177172
UNIVERSITY OF COPENHAGEN,0,0,1107075
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,3361168,1229041,4590209
ANDROSCIENCE CORPORATION,1,0,1
"OPHYSIO, INC.",0,0,396237
"ARUNA BIOMEDICAL, INC.",0,0,600170
FLORIDA INSTITUTE OF TECHNOLOGY,171963,67458,239421
"GLOBEIMMUNE, INC.",897108,102892,1000000
PALO ALTO MEDICAL FOUNDATION RES INST,1864630,552136,2416766
UNIVERSITY OF MASSACHUSETTS BOSTON,2897677,1005893,3903570
"NOVATARG, INC.",0,0,731339
FOUNDATION FOR APPLIED MOLECULAR EVOLUTN,720490,316214,1036704
UNIVERSITY OF DURHAM,386587,30927,417514
PERITEC BIOSCIENCES,0,0,415759
"RADIATION MONITORING DEVICES, INC.",106877,127046,1611095
"BIONEX PHARMACEUTICALS, LLC",0,0,164502
NATIONAL PKU ALLIANCE,12000,0,12000
NATURE TECHNOLOGY CORPORATION,0,0,247934
UNIVERSITY OF HOUSTON-DOWNTOWN,100000,6109,106109
UNIVERSITY OF TULSA,250000,51928,301928
"CREARE, INC.",0,0,639948
PULMATRIX,94794,8057,102851
"EVORX TECHNOLOGIES, INC.",0,0,249748
"MICA II, LLC",318089,25447,343536
"ARISTON MEDICAL , INC.",0,0,150000
"ADVANTAGENE, INC",0,0,1806651
"PINMED, INC.",0,0,148302
TRINITY COLLEGE,364053,45154,409207
"PROMILIAD BIOPHARMA, INC.",0,0,287766
"SIMULCONSULT, INC.",0,0,746282
FAIRFIELD UNIVERSITY,64036,5123,69159
CHILDREN'S HOSPITALS AND CLINICS,301639,11627,312764
DARTMOUTH COLLEGE,59789733,23361736,81705567
VILNIAUS UNIVERSITETAS,152000,10960,162960
"VALA SCIENCES, INC.",0,0,1384880
COMMUNITY-CAMPUS PARTNERSHIPS/HEALTH,198810,17021,215831
"THERASOURCE, LLC",0,0,855208
CORAMED TECHNOLOGIES,0,0,932599
COLBY PHARMACEUTICAL COMPANY,0,0,249997
BAY AREA TUMOR INSTITUTE,486165,0,486165
"GLYCOHUB, INC.",0,0,298447
"AYER AND KURIS RESEARCH ENGINEERING, INC",0,0,193312
COLUMBIA UNIVERSITY TEACHERS COLLEGE,1507218,506499,2013717
SOCIETY OF TOXICOLOGY,25000,0,25000
FORSCHERGRUPPE DIABETES e. V.,2683630,214690,2898320
UNIVERSITY OF CHICAGO,116125916,45809420,160450900
"ARISAPH PHARMACEUTICALS, INC.",0,0,379862
"LUMETRICS, INC.",0,0,479441
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,35742555,14779971,50163695
"JADEN BIOSCIENCE, INC.",0,0,51356
"COLLAGEN MEDICAL, LLC",0,0,994106
UNIV OF NORTH CAROLINA CHAPEL HILL,289586925,91848205,383752058
"BCR DIAGNOSTICS, INC.",0,0,145637
PACIFIC INSTITUTE FOR RES AND EVALUATION,7264813,3184535,10449348
"GISMO THERAPEUTICS, INC.",0,0,197137
BIOMEDWARE,268352,126217,578047
PEARSON PHARMA PARTNERS,0,0,112000
"ENANTIGEN THERAPEUTICS, INC.",0,0,594674
"AFASCI, INC.",0,0,2052768
"TYMORA ANALYTICAL OPERATIONS, LLC",0,0,444117
"CAERUS MOLECULAR DIAGNOSTICS, INC.",175000,76300,251300
"SALGOMED, INC.",0,0,162424
"DIGITAL PROTEOMICS, LLC",0,0,238717
"A AND G PHARMACEUTICAL, INC.",49812,19925,269565
"HASKINS LABORATORIES, INC.",3753080,2636142,6388859
"TRANSCENDENT INTERNATIONAL, LLC",0,0,1633597
UNIVERSITY OF PUERTO RICO PONCE,473913,37913,511826
"NANOMETICS, LLC",0,0,1367340
ADAPTIVE TCR CORPORATION,0,0,1382589
"EXEMPLAR GENETICS, LLC",0,0,833094
"FIRST LIGHT BIOSCIENCES, INC.",0,0,942482
UNIVERSITY OF NORTH CAROLINA GREENSBORO,4642223,1465723,6107946
PURDUE UNIVERSITY WEST LAFAYETTE,19323235,8060152,27326781
MEDICAL RES COUNCIL HUMAN GENETICS UNIT,727470,31410,758880
APPLIED BIOTECHNOLOGY INSTITUTE,0,0,911830
LURIE CHILDREN'S HOSPITAL OF CHICAGO,8132502,1949074,9866503
"BRIO DEVICE, LLC",0,0,244710
"3DMD, LLC",0,0,318425
JOUBERT SYNDROME/RELATED DISORDERS FDN,16000,0,16000
SYSTEMS RESEARCH AND APPLICATION CORP.,0,0,9561310
"MATERIA, INC.",0,0,543953
"SANERON CCEL THERAPEUTICS, INC.",0,0,211473
"TREVIGEN, INC.",0,0,1308195
JOHN WAYNE CANCER INSTITUTE,4000119,3092878,6914603
"SONORAN BIOSCIENCES, INC.",0,0,149991
"PRESSURE BIOSCIENCE, INC.",0,0,141093
"PROFECTUS BIOSCIENCES, INC.",2345518,806846,4121094
"UNITAQ BIO, INC.",0,0,207739
"DELPHINUS MEDICAL TECHNOLOGIES, INC.",0,0,429516
WINTHROP-UNIVERSITY HOSPITAL,923623,240325,1163948
EDENSPACE SYSTEMS CORPORATION,0,0,460888
"COMPACT MEMBRANE SYSTEMS, INC.",0,0,465640
"VIVO BIOSCIENCES, INC.",0,0,576652
NAVAL MEDICAL RESEARCH UNIT NUMBER SIX,174800,0,174800
FUNDACION INSTITUTO LELOIR,183027,13984,197011
"NAPROGENIX, INC",0,0,1516089
BIORELIANCE CORPORATION,0,0,311554
UNIVERSITY OF CALIF-LAWRNC LVRMR NAT LAB,1411260,856893,2268153
SMITH COLLEGE,376702,63979,440681
"ALLVIVO VASCULAR, INC.",0,0,959773
"AVIDITY NANOMEDICINES, LLC",0,0,200000
UNIVERSITY OF PUERTO RICO,2856162,518555,3374717
UNIVERSITY OF MARYLAND BALTIMORE,108887108,34194028,163187812
CENTER OF ENVIRONMENTAL HEALTH,122500,23598,2415939
PLANNED PARENTHOOD-WORLD POPULATION,0,0,51366
ROCHESTER GENERAL HOSPITAL (NY),393096,136089,529185
"BASE PAIR BIOTECHNOLOGIES, INC.",0,0,199565
PARKINSON'S INSTITUTE,45710,35105,80815
VIRGINIA POLYTECHNIC INST AND ST UNIV,18315652,7720892,26032604
National Disease Research Interchange,889498,483638,1373136
"DIFFINITY GENOMICS, INC.",0,0,255637
NATIONAL REHABILITATION HOSPITAL,121997,9760,131757
OKLAHOMA STATE UNIVERSITY STILLWATER,4379603,1176644,5556247
BOISE STATE UNIVERSITY,339896,81342,421238
GALENEA CORPORATION,466544,108894,575438
ENVIRONMENTAL MUTAGENESIS/GENOMICS SOC,12000,0,12000
INSTITUTE OF MOLECULAR /CELLULAR BIOLOGY,84892,3491,88383
"FRONTIER SCI & TECHNOLOGY RSCH FDN, INC",11314362,1815173,12254071
"MC3, INC.",0,0,635979
CHRISTIAN MEDICAL COLLEGE,174800,13984,188784
"PHARMATECH, INC.",0,0,925328
AARON DIAMOND AIDS RESEARCH CENTER,5007759,2512676,7520435
INHIBIKASE THERAPEUTICS,0,0,300000
"CASSIA, LLC",0,0,300000
"BELLBROOK LABS, LLC",0,0,194007
"NEOSTEM, INC.",0,0,962937
"ENDOCOLE, LLC",0,0,144150
"ARBOR ULTRASOUND TECHNOLOGIES, LLC",0,0,198831
CENTRO INTERNACIONAL  (CIDEIM),169570,13566,183136
MORGAN STATE UNIVERSITY,1376883,249208,1610712
CUNY GRADUATE SCH AND UNIV CTR,105729,0,105729
TEXAS HEART INSTITUTE,1034220,445463,1135940
"ION CHANNEL INNOVATIONS, LLC",0,0,537254
METROPOLITAN STATE COLLEGE OF DENVER,248087,16799,173796
NATIONAL HEALTH PROMOTION ASSOCIATES,0,0,149534
"OLIGOMERIX, INC",0,0,903675
"INVIRAGEN, INC.",0,0,3183629
UNIVERSITY OF BAMAKO,659819,29560,689379
KENYA MEDICAL RESEARCH INSTITUTE (KEMRI),267498,19160,286658
"IMMUNOTOPE, INC.",0,0,1368880
ALBERT EINSTEIN HEALTHCARE NETWORK,2027183,617147,2644330
"H AND N INSTRUMENTS, INC.",0,0,150000
TEXAS WOMAN'S UNIVERSITY,79548,6364,85912
KORONIS BIOMEDICAL TECHNOLOGIES CORPORAT,0,0,955263
UNIVERSITY OF PENNSYLVANIA,320393475,131032353,451194908
LONDON SCH/HYGIENE & TROPICAL MEDICINE,1218771,97125,1315896
"BACKYARD BRAINS, INC.",0,0,599521
CLEMSON UNIVERSITY,3769941,1104862,4874803
UNIVERSITY OF NEBRASKA MEDICAL CENTER,43024837,13646203,56500554
FATHER FLANAGAN'S BOYS' HOME,3444482,1034084,4383611
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,193405,15057,208462
"APPLIED BIOMATHEMATICS, INC.",0,0,236124
"PREVENTION STRATEGIES, LLC",0,0,815263
SOUTHEAST CANCER CONTROL CONSORTIUM,1966367,0,1874946
TUFTS UNIVERSITY MEDFORD,6468928,2133264,8602192
"FLUENTIAL, LLC",0,0,611285
"IGI TECHNOLOGIES, INC.",0,0,937008
"HAGER SHARP, INC.",0,0,2985893
"IFYBER, LLC",0,0,197095
"INTEGRATED LABORATORY SYSTEMS, INC.",0,0,6709603
"AI CURE TECHNOLOGIES, LLC",0,0,1893309
RUTGERS THE STATE UNIV OF NJ CAMDEN,527974,290387,818361
TEL-AVIV SOURASKY MEDICAL CENTER,425525,32678,458203
"OMNICITY, INC.",27614,0,27614
"OCT MEDICAL IMAGING, INC.",0,0,1237009
"BAKER-CALLING, INC.",0,0,540669
CHILDREN'S HOSPITAL OF DENVER,298986,15035,314021
UNIVERSITY OF NOTRE DAME,9781269,4257411,14038680
VALDEZ AND ASSOCIATES,0,0,500000
"TANGLEWOOD RESEARCH, INC.",233930,54629,478877
"ARCHIMAGE, INC.",0,0,747891
"DECODE GENETICS, EHF",1803756,139634,1943390
"COGNIZANCE BIOMARKERS, LLC",0,0,349998
"RIGHTCARE SOLUTIONS, INC.",0,0,164463
"BIOSPEECH, INC.",0,0,234295
UNIVERSITY OF FLORIDA,95762180,28289371,127141750
"INFORMATION MANAGEMENT SERVICES, INC.",0,0,10207675
DECATUR MEMORIAL HOSPITAL,1288282,273098,1542411
"MEDICAL CYBERWORLDS, INC.",0,0,649030
OLIVE VIEW-UCLA EDUCATION AND RES INST,0,0,674561
"RADIKAL THERAPEUTICS, INC.",489284,158799,4575554
"CARE TEAM SOLUTIONS, LLC",0,0,354194
